name;machine;experiment;material;sample;fluid;method;type of energy;value (J/m^2);min (J/m^2);max (J/m^2);type of slip;value (m);min (m);max (m);normal stress (MPa);conf stress (MPa);pore press (MPa);stress drop (MPa);T (°C);peak slip velocity (m/s);Reference;Collection;Notes;Group;;;
;triaxial;shear fracture;granite;intact;;;G_c;;27000;;slip;0.00044;;;;;;;;;Aben et al., 2019;;text;1;;;
;triaxial;shear fracture;granite;intact;;AWT;G_off;;3000;;slip;0.00044;;;;;;;;;Aben et al., 2019;;text;1;;;
;triaxial;shear fracture;granite;saw-cut;;;W_b;;37000;53000;slip;0.00083;;;;;;;;;Aben et al., 2020b;;text;1;;;
;triaxial;shear fracture;granite;intact;;CD;Gamma_off;;2000;10000;;;;;;;;;;;Aben et al., 2020b;;text;1;;;
;large-sample biaxial;stick slip;granite;saw-cut;;;G_e,min;1.8;0.033;;;;;;;;;;;;Beeler et al., 2012;;text;2;;;
;triaxial;shear fracture;granite;intact;;;E_f;80000;50000;110000;;;;;;;;;;;Lockner et al., 1991;;text;1;;;
;triaxial;shear fracture;granite;intact;;;G_t;90000;30000;140000;;;;;;;;;;;Lockner et al., 1991;;text;1;;;
;triaxial;shear fracture;granite;intact;;;G;80000;30000;130000;;;;;;;;;;;Lockner et al., 1991;;text;1;;;
;triaxial;shear fracture;granite;intact;;;G_II;13000;;;;;;;;;;;;;Lockner et al., 1991;Moore & Lockner, 1995;text;1;;;
;triaxial;shear fracture;granite;intact;;CD;G_II;;1700;8600;;;;;;;;;;;Moore & Lockner, 1995;;text;1;;;
;large-sample biaxial;stick slip;granite;saw-cut;;;G;;0.06;0.8;d_r;;0.000001;0.000008;;;;;;;Okubo & Dieterich, 1981;;fig 5;2;;;
;large-sample biaxial;stick slip;granite (smooth);saw-cut;;;G;;;;d_r;;0.00000105;0.00000975;;;;;;;Okubo & Dieterich, 1984;;fig 10;2;;;
;large-sample biaxial;stick slip;granite (rough);saw-cut;;;G;;;;d_r;;0.000016;0.00004;;;;;;;Okubo & Dieterich, 1984;;fig 10;2;;;
;direct shear;stick slip;pmma;saw-cut;;;Gamma;1.1;;;;;;;;;;;;;Svetlizky & Fineberg, 2014  ;;text;2b;;;
;;;pmma;;;;Gamma_bulk;1100;;;;;;;;;;;;;Svetlizky & Fineberg, 2014  ;;text;2b;;;
;direct shear;stick slip;pmma;saw-cut;;;Gamma;;0.2;3.5;;;;;;;;;;;Bayart et al., 2016a;;fig 4;2b;;;
;direct shear;stick slip;pmma;saw-cut;;;Gamma;;0.2;3.5;;;;;;;;;;;Bayart et al., 2018;;fig 3;2b;;;
;direct shear;stick slip;pmma;saw-cut;oil;;Gamma;;10;30;;;;;;;1;;;;Bayart et al., 2018;;fig 3;2b;;;
;biaxial;stick slip;rock;saw-cut;;;Gamma;;0.01;1.5;slip;;0.000002;0.000004;;;;;;;Kammer & McLaskey, 2019;;fig 7b;2b;;;
;large-sample biaxial;stick slip;rock;saw-cut;;;Gamma;;0.2;3.5;slip;0.000001;;;;;;;;;Ke et al., 2018;;text;2b;;;
Case A1;rotary;yoffe;;;;;E_F;78000;;;total slip;;;;1;;;;;0.65;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case A2;rotary;yoffe;;;;;E_F;65000;;;total slip;;;;1;;;;;0.65;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case B1;rotary;yoffe;;;;;E_F;36000;;;total slip;;;;1;;;;;0.325;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case B2;rotary;yoffe;;;;;E_F;52000;;;total slip;;;;1;;;;;0.325;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case C1;rotary;yoffe;;;;;E_F;173000;;;total slip;;;;1;;;;;1.3;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
