earthquake;type of energy;value (J/m^2);type of slip;value (m);type of stress drop;value (Pa);Reference;Collection
Parkfield;Wb;416869.3835;slip;0.1;;;Spagnuolo, 2006;Nielsen et al., 2016a
Colfiorito a;Wb;660693.448;slip;0.28840315;;;Tinti et al., 2008;Nielsen et al., 2016a
Morgan Hill;Wb;2691534.804;slip;0.251188643;;;Tinti et al., 2005b;Nielsen et al., 2016a
Aquila;Wb;2454708.916;slip;0.338844156;;;Tinti et al., 2005b;Nielsen et al., 2016a
Colfiorito b;Wb;1698243.652;slip;0.416869383;;;Tinti et al., 2005b;Nielsen et al., 2016a
Colfiorito c;Wb;2041737.945;slip;0.446683592;;;Tinti et al., 2005b;Nielsen et al., 2016a
Imperial Valley;Wb;2754228.703;slip;0.537031796;;;Tinti et al., 2005b;Nielsen et al., 2016a
Kobe;Wb;3235936.569;slip;0.616595002;;;Tinti et al., 2005b;Nielsen et al., 2016a
Tottori a;Wb;6456542.29;slip;0.489778819;;;Tinti et al., 2005b;Nielsen et al., 2016a
Tottori b;Wb;3162277.66;slip;0.34673685;;;Tinti et al., 2005b;Nielsen et al., 2016a
Fukukoa;Wb;10000000;slip;0.794328235;;;Spagnuolo, 2006;Nielsen et al., 2016a
Northridge;Wb;10000000;slip;0.34673685;;;Tinti et al., 2005b;Nielsen et al., 2016a
Seki Tottori;Wb;14125375.45;slip;1.122018454;;;Tinti et al., 2005b;Nielsen et al., 2016a
Landers a;Wb;28183829.31;slip;1.862087137;;;Tinti et al., 2005b;Nielsen et al., 2016a
Landers b;Wb;38904514.5;slip;2.511886432;;;Tinti et al., 2005b;Nielsen et al., 2016a
Hector Mine;Wb;79432823.47;slip;2.290867653;;;Spagnuolo, 2006;Nielsen et al., 2016a
Denali;Wb;39810717.06;slip;4.365158322;;;Spagnuolo, 2006;Nielsen et al., 2016a
Imperial Valley;Wb;3640000;slip;0.6;;;Tinti et al., 2005b;Cornelio et al., 2020a
Imperial Valley;Wb;2120000;slip;0.4975;;;Tinti et al., 2005b;Cornelio et al., 2020a
Landers;Wb;40520000;slip;2.46;;;Tinti et al., 2005b;Cornelio et al., 2020a
Landers;Wb;29140000;slip;1.88;;;Tinti et al., 2005b;Cornelio et al., 2020a
Northridge;Wb;11500000;slip;0.985;;;Tinti et al., 2005b;Cornelio et al., 2020a
Morgan Hill;Wb;2720000;slip;0.2462;;;Tinti et al., 2005b;Cornelio et al., 2020a
Yagi;Wb;3380000;slip;0.992;;;Tinti et al., 2005b;Cornelio et al., 2020a
Sekiguchi;Wb;14260000;slip;1.1324;;;Tinti et al., 2005b;Cornelio et al., 2020a
Piatanesi model-00;Wb;6040000;slip;0.537;;;Tinti et al., 2005b;Cornelio et al., 2020a
Piatanesi model-01;Wb;5460000;slip;0.5543;;;Tinti et al., 2005b;Cornelio et al., 2020a
Kobe;Wb;3320000;slip;0.6196;;;Tinti et al., 2005b;Cornelio et al., 2020a
Colfiorito;Wb;800000;slip;0.29;;;Tinti et al., 2005b;Cornelio et al., 2020a
Colfiorito;Wb;1940000;slip;0.415;;;Tinti et al., 2005b;Cornelio et al., 2020a
Colfiorito-Oct;Wb;2220000;slip;0.4467;;;Tinti et al., 2005b;Cornelio et al., 2020a
Parkfield;Wb;416869.3835;slip;0.1;;;Spagnuolo, 2006;Cornelio et al., 2020a
Fukukoa;Wb;10000000;slip;0.794328235;;;Spagnuolo, 2006;Cornelio et al., 2020a
Hector Mine;Wb;79432823.47;slip;2.290867653;;;Spagnuolo, 2006;Cornelio et al., 2020a
Denali;Wb;39810717.06;slip;4.365158322;;;Spagnuolo, 2006;Cornelio et al., 2020a
Norcia, family B;avg Wb (>20%);7.00E+05;slip;;;;Tinti et al., 2021;
Norcia, family C;avg Wb (>20%);6.10E+05;slip;;;;Tinti et al., 2021;
1;average Wb;8.07E+06;average slip;9.78E+00;energy-based stress drop;1.53E+07;Lambert & Lapusta, 2020;
2;average Wb;1.30E+05;average slip;1.25E-01;energy-based stress drop;3.14E+06;Lambert & Lapusta, 2020;
3;average Wb;3.20E+05;average slip;2.56E-01;energy-based stress drop;4.38E+06;Lambert & Lapusta, 2020;
4;average Wb;3.23E+05;average slip;2.57E-01;energy-based stress drop;4.41E+06;Lambert & Lapusta, 2020;
5;average Wb;4.33E+05;average slip;3.63E-01;energy-based stress drop;4.28E+06;Lambert & Lapusta, 2020;
6;average Wb;4.47E+05;average slip;3.76E-01;energy-based stress drop;4.40E+06;Lambert & Lapusta, 2020;
7;average Wb;1.55E+05;average slip;1.56E-01;energy-based stress drop;2.99E+06;Lambert & Lapusta, 2020;
8;average Wb;1.48E+05;average slip;1.58E-01;energy-based stress drop;3.12E+06;Lambert & Lapusta, 2020;
9;average Wb;1.06E+06;average slip;7.73E-01;energy-based stress drop;5.20E+06;Lambert & Lapusta, 2020;
10;average Wb;1.04E+06;average slip;8.04E-01;energy-based stress drop;5.33E+06;Lambert & Lapusta, 2020;
11;average Wb;1.50E+05;average slip;1.48E-01;energy-based stress drop;3.34E+06;Lambert & Lapusta, 2020;
12;average Wb;1.88E+05;average slip;1.79E-01;energy-based stress drop;3.55E+06;Lambert & Lapusta, 2020;
13;average Wb;4.39E+05;average slip;3.64E-01;energy-based stress drop;4.35E+06;Lambert & Lapusta, 2020;
14;average Wb;4.68E+05;average slip;3.85E-01;energy-based stress drop;4.16E+06;Lambert & Lapusta, 2020;
15;average Wb;1.81E+05;average slip;1.68E-01;energy-based stress drop;3.40E+06;Lambert & Lapusta, 2020;
16;average Wb;7.44E+06;average slip;3.92E+00;energy-based stress drop;6.78E+06;Lambert & Lapusta, 2020;
17;average Wb;1.71E+05;average slip;1.60E-01;energy-based stress drop;3.65E+06;Lambert & Lapusta, 2020;
18;average Wb;1.89E+05;average slip;1.85E-01;energy-based stress drop;3.56E+06;Lambert & Lapusta, 2020;
19;average Wb;3.64E+05;average slip;2.84E-01;energy-based stress drop;4.57E+06;Lambert & Lapusta, 2020;
20;average Wb;5.12E+05;average slip;4.08E-01;energy-based stress drop;4.23E+06;Lambert & Lapusta, 2020;
21;average Wb;3.74E+05;average slip;3.32E-01;energy-based stress drop;4.13E+06;Lambert & Lapusta, 2020;
22;average Wb;2.04E+05;average slip;1.87E-01;energy-based stress drop;3.30E+06;Lambert & Lapusta, 2020;
23;average Wb;2.00E+05;average slip;1.85E-01;energy-based stress drop;3.27E+06;Lambert & Lapusta, 2020;
24;average Wb;1.43E+06;average slip;1.18E+00;energy-based stress drop;4.83E+06;Lambert & Lapusta, 2020;
25;average Wb;2.09E+05;average slip;1.84E-01;energy-based stress drop;3.68E+06;Lambert & Lapusta, 2020;
26;average Wb;1.52E+06;average slip;1.35E+00;energy-based stress drop;2.96E+06;Lambert & Lapusta, 2020;
27;average Wb;1.90E+05;average slip;1.63E-01;energy-based stress drop;3.07E+06;Lambert & Lapusta, 2020;
28;average Wb;1.60E+05;average slip;1.40E-01;energy-based stress drop;4.00E+06;Lambert & Lapusta, 2020;
29;average Wb;2.16E+06;average slip;2.25E+00;energy-based stress drop;3.54E+06;Lambert & Lapusta, 2020;
