Name;Title;Community;Type
Aben et al., 2019;Rupture energetics in crustal rock from laboratory?scale seismic tomography;laboratory;Reference
Aben et al., 2020b;Off-Fault Damage Characterization During and After Experimental Quasi-Static and Dynamic Rupture in Crustal Rock From Laboratory P Wave Tomography and Microstructures;laboratory;Reference
Abercrombie & Rice, 2005;Can observations of earthquake scaling constrain slip weakening?;seismology;Reference
Aretusini et al., 2021a;Fluid pressurisation and earthquake propagation in the Hikurangi subduction zone;laboratory;Reference
Aubry et al., 2018;Frictional Heating Processes and Energy Budget During Laboratory Earthquakes;laboratory;Reference
Bayart et al., 2016a;Fracture mechanics determine the lengths of interface ruptures that mediate frictional motion;laboratory;Reference
Bayart et al., 2018;Rupture dynamics of heterogeneous frictional interfaces;laboratory;Reference
Beeler et al., 2012;Observed source parameters for dynamic rupture with non-uniform initial stress and relatively high fracture energy;laboratory;Reference
Boulton et al., 2017;High-velocity frictional properties of Alpine Fault rocks: Mechanical data, microstructural analysis, and implications for rupture propagation;laboratory;Reference
Boutareaud et al., 2012;On the role of phyllosilicates on fault lubrication: Insight from micro- and nanostructural investigations on talc friction experiments;laboratory;Reference
Brantut et al., 2008;High-velocity frictional properties of a clay-bearing fault gouge and implications for earthquake mechanics;laboratory;Reference
Chang et al., 2012;Rapid acceleration leads to rapid weakening in earthquake-like laboratory experiments;laboratory;Reference
Chen et al., 2017;Water vaporization promotes coseismic fluid pressurization and buffers temperature rise;laboratory;Reference
Chester et al., 2005;Fracture surface energy of the Punchbowl fault, San Andreas system;geology;Reference
Cocco et al., in prep.;;seismology;Reference
Cornelio et al., 2019;Mechanical behaviour of fluid-lubricated faults;laboratory;Reference
Cornelio et al., 2020;Effect of fluid viscosity on fault reactivation and coseismic weakening;laboratory;Reference
Cornelio et al., 2020;Effect of fluid viscosity on fault reactivation and coseismic weakening;laboratory;Collection
Cornelio et al., 2020;Effect of fluid viscosity on fault reactivation and coseismic weakening;models;Collection
Cornelio et al., 2020;Effect of fluid viscosity on fault reactivation and coseismic weakening;seismology;Reference
Cornelio et al., 2020;Effect of fluid viscosity on fault reactivation and coseismic weakening;seismology;Collection
De Paola et al. 2011;Fault lubrication and earthquake propagation in thermally unstable rocks;laboratory;Reference
De Paola et al., 2011;Fault lubrication and earthquake propagation in thermally unstable rocks;laboratory;Reference
Del Gaudio et al., 2009;Frictional melting of peridotite and seismic slip;laboratory;Reference
Di Toro et al., 2011;Fault lubrication during earthquakes;laboratory;Reference
Di Toro et al., in prep.;;laboratory;Collection
Faulkner et al., 2011;Stuck in the mud? Earthquake nucleation and propagation through accretionary forearcs;laboratory;Reference
Favreau & Archileta, 2003;Direct seismic energy modeling and application to the 1979 Imperial Valley earthquake;models;Reference
French et al., 2014;Displacement and dynamic weakening processes in smectite-rich gouge from the Central Deforming Zone of the San Andreas Fault;laboratory;Reference
Fukuyama & Mizoguchi, 2010;Constitutive parameters for earthquake rupture dynamics based on high-velocity friction tests with variable sliprate;laboratory;Reference
Gallovic et al., 2019b;Bayesian Dynamic Finite?Fault Inversion: 2. Application to the 2016 Mw 6.2 Amatrice, Italy, Earthquake;models;Reference
Guatteri et al., 2001;Inferring rate and state friction parameters from a rupture model of the 1995 Hyogo?ken Nanbu (Kobe) Japan earthquake;models;Reference
Guatteri et al., 2003;Strong ground-motion prediction from stochastic-dynamic source models;models;Reference
Hakami & Stephansson, 1990;Shear fracture energy of Stripa granite- results of controlled triaxial testing;laboratory;Reference
Han et al., 2007;Ultralow Friction of Carbonate Faults Caused by Thermal Decomposition;laboratory;Reference
Han et al., 2010;Strong velocity weakening and powder lubrication of simulated carbonate faults at seismic slip rates;laboratory;Reference
Harbord et al., 2021;Fault friction during simulated seismic slip pulses;laboratory;Reference
Hirose & Bystricky, 2007;Extreme dynamic weakening of faults during dehydration by coseismic shear heating;laboratory;Reference
Hou et al., 2012;Internal structures and high-velocity frictional properties of a bedding-parallel carbonate fault at Xiaojiaqiao outcrop activated by the 2008 Wenchuan earthquake;laboratory;Reference
Johnson et al., 2021;Energy Partitioning, Dynamic Fragmentation, and Off?Fault Damage in the Earthquake Source Volume;geology;Reference
Johnson et al., 2021;Energy Partitioning, Dynamic Fragmentation, and Off?Fault Damage in the Earthquake Source Volume;geology;Collection
Kammer & McLaskey, 2019;Fracture energy estimates from large-scale laboratory earthquakes;laboratory;Reference
Ke et al., 2018;Rupture termination in laboratory?generated earthquakes;laboratory;Reference
Ke et al., 2022;Earthquake breakdown energy scaling despite constant fracture energy;laboratory;Collection
