id;earthquake;M0 (seismic moment, Nm);a (radius, m);?? (stress drop, Pa);Er (radiated energy, J);tau i (Pa);type of energy;value (J/m^2);type of slip;value (m);Reference M0, a;Reference Er;Reference slip, G';Collection;Note;Type of seismic event
;Tohoku ’11;3.9E+22;132000;7500000;4.2E+17;16000000;G';59000000;slip;18;Lay et al. 2011 EPS;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Mentawai ’10;6.7E+20;80000;600000;1.4E+15;15000000;G';200000;slip;0.8;Lay et al. 2011 GRL;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Maule ’10;1.8E+22;166000;1800000;2.1E+17;15000000;G';2200000;slip;5.3;Lin et al. 2013;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Pagai Is. ’07;7.8E+20;57000;1800000;8.9E+15;15000000;G';200000;slip;1.2;Konca et al. 2008;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Benkulu ’07;5E+21;105000;1900000;4.4E+16;15000000;G';900000;slip;2.2;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru ’07;1.1E+21;76000;1100000;1.7E+16;14000000;G';-100000;slip;1.5;Lay et al. 2010;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Miyagi ’05;7.4E+19;51000;200000;5.5E+14;16000000;G';0;slip;0.1;Kanamori et al. 2006;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Nias-Sim. ’05;1.1E+22;120000;2800000;8.2E+16;15000000;G';6500000;slip;6;Konca et al. 2007;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Sumatra ’04;6.5E+22;236000;2200000;3E+16;15000000;G';9900000;slip;9.3;Rhie et al. 2007;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Tokachi ’03;3.1E+21;80000;2600000;1.9E+16;16000000;G';2000000;slip;2.3;Honda et al. 2004;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru ’01;4.7E+21;101000;2000000;4E+16;14000000;G';2400000;slip;3.6;Lay et al. 2010;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru Nov’96;3.5E+20;36000;3300000;1E+16;14000000;G';1100000;slip;2.2;Swenson & Beck 1999;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Aleutian ’96;8.8E+20;34000;9900000;1.1E+16;11000000;G';27300000;slip;6.1;Tanioka & Gonzalez 1998;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru Feb’96;2.2E+20;37000;1800000;5.5E+14;14000000;G';1000000;slip;1.2;Ihmle et al. 1998;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Chile ’95;1.8E+21;60000;3600000;2.60E+16;2.30E+07;G';4800000;slip;3.90E+00;Carlo et al. 1999;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Sanriku ’94;4.4E+20;36000;4200000;5.1E+15;16000000;G';4600000;slip;2.8;Sato et al. 1996;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Chile ’85 (MS);3.5E+20;25000;9700000;3.7E+15;15000000;G';11000000;slip;2.7;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;2;4.2E+18;12000;1000000;1.9E+13;-;G';0;slip;0.1;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;4;7.8E+18;14000;1300000;4.7E+13;-;G';100000;slip;0.3;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;5;1.3E+19;24000;400000;5.2E+13;-;G';0;slip;0.2;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;6;3.8E+18;12000;1000000;3.5E+13;-;G';0;slip;0.2;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;7;1.7E+18;12000;400000;1.4E+13;-;G';0;slip;0.1;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;8;8.3E+19;26000;2100000;6.5E+14;-;G';200000;slip;0.6;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Fukuoka '05;1.2E+19;11000;3500000;6.5E+14;0;G';10700000;slip;1;Asano and Iwata 2006;Yoo et al. 2010;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Parkfield '04;1.1E+18;8300;800000;1.1E+13;0;G';400000;slip;0.2;Custodio et al., 2009;Ma et al., 2008;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Denali '02;7.6E+20;38000;6000000;3.3E+16;9500000;G';41400000;slip;5.6;Asano et al., 2005;Choy and Boatwright, 2004;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Tottori '00;1.3E+19;12000;3300000;1.5E+15;-1800000;G';7400000;slip;1;Tinti et al., 2005 JGR;Choy and Boatwright, 2009;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Hector Mine '99;6.3E+19;13000;13000000;2.7E+15;20000000;G';81200000;slip;4;Ji et al., 2002;"Venkataraman et al., 2002; Boatwright et al., 2002";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (0033);4.4E+17;3500;4700000;3.8E+13;-100000;G';960000;slip;0.4;Hernandez et al., 2004;Pino et al., 1999;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (0940);1E+18;4700;4400000;2.8E+13;700000;G';2420000;slip;0.5;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (Oct);6.5E+17;3800;5200000;6.3E+13;-200000;G';2560000;slip;0.5;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
